,x,y,name
0,9,0,50_50.fits
1,8,0,50_145.0.fits
2,7,0,50_240.0.fits
3,6,0,50_335.0.fits
4,5,0,50_430.0.fits
5,4,0,50_525.0.fits
6,3,0,50_620.0.fits
7,2,0,50_715.0.fits
8,1,0,50_810.0.fits
9,0,0,50_905.0.fits
10,9,1,145.0_50.fits
11,8,1,145.0_145.0.fits
12,7,1,145.0_240.0.fits
13,6,1,145.0_335.0.fits
14,5,1,145.0_430.0.fits
15,4,1,145.0_525.0.fits
16,3,1,145.0_620.0.fits
17,2,1,145.0_715.0.fits
18,1,1,145.0_810.0.fits
19,0,1,145.0_905.0.fits
20,9,2,240.0_50.fits
21,8,2,240.0_145.0.fits
22,7,2,240.0_240.0.fits
23,6,2,240.0_335.0.fits
24,5,2,240.0_430.0.fits
25,4,2,240.0_525.0.fits
26,3,2,240.0_620.0.fits
27,2,2,240.0_715.0.fits
28,1,2,240.0_810.0.fits
29,0,2,240.0_905.0.fits
30,9,3,335.0_50.fits
31,8,3,335.0_145.0.fits
32,7,3,335.0_240.0.fits
33,6,3,335.0_335.0.fits
34,5,3,335.0_430.0.fits
35,4,3,335.0_525.0.fits
36,3,3,335.0_620.0.fits
37,2,3,335.0_715.0.fits
38,1,3,335.0_810.0.fits
39,0,3,335.0_905.0.fits
40,9,4,430.0_50.fits
41,8,4,430.0_145.0.fits
42,7,4,430.0_240.0.fits
43,6,4,430.0_335.0.fits
44,5,4,430.0_430.0.fits
45,4,4,430.0_525.0.fits
46,3,4,430.0_620.0.fits
47,2,4,430.0_715.0.fits
48,1,4,430.0_810.0.fits
49,0,4,430.0_905.0.fits
